,red,green,blue,infrated
0,84.0,166.0,173.0,49.0
1,84.0,166.0,173.0,49.0
2,84.0,166.0,173.0,49.0
3,84.0,166.0,173.0,49.0
4,84.0,166.0,173.0,49.0
5,84.0,166.0,173.0,49.0
6,84.0,166.0,173.0,49.0
7,84.0,166.0,173.0,49.0
8,84.0,166.0,173.0,49.0
9,84.0,166.0,173.0,49.0
10,84.0,166.0,173.0,49.0
11,84.0,166.0,173.0,49.0
12,84.0,166.0,173.0,49.0
13,84.0,166.0,173.0,49.0
14,84.0,166.0,173.0,49.0
15,84.0,166.0,173.0,49.0
16,84.0,166.0,173.0,49.0
17,84.0,166.0,173.0,49.0
18,84.0,166.0,173.0,49.0
19,84.0,166.0,173.0,49.0
20,84.0,166.0,173.0,49.0
21,84.0,166.0,173.0,49.0
22,84.0,166.0,173.0,49.0
23,84.0,166.0,173.0,49.0
24,84.0,166.0,173.0,49.0
25,84.0,166.0,173.0,49.0
26,84.0,166.0,173.0,49.0
27,84.0,166.0,173.0,49.0
28,84.0,166.0,173.0,49.0
29,84.0,166.0,173.0,49.0
30,84.0,166.0,173.0,49.0
31,84.0,166.0,173.0,49.0
32,84.0,166.0,173.0,49.0
33,84.0,166.0,173.0,49.0
34,84.0,166.0,173.0,49.0
35,84.0,166.0,173.0,49.0
36,84.0,166.0,173.0,49.0
37,84.0,166.0,173.0,49.0
38,84.0,166.0,173.0,49.0
39,84.0,166.0,173.0,49.0
40,84.0,166.0,173.0,49.0
41,84.0,166.0,173.0,49.0
42,84.0,166.0,173.0,49.0
43,84.0,166.0,173.0,49.0
44,84.0,166.0,173.0,49.0
45,84.0,166.0,173.0,49.0
46,84.0,166.0,173.0,49.0
47,84.0,166.0,173.0,49.0
48,84.0,166.0,173.0,49.0
49,84.0,166.0,173.0,49.0
50,84.0,166.0,173.0,49.0
51,84.0,166.0,173.0,49.0
52,84.0,166.0,173.0,49.0
53,84.0,166.0,173.0,49.0
54,84.0,166.0,173.0,49.0
55,84.0,166.0,173.0,49.0
56,84.0,166.0,173.0,49.0
57,84.0,166.0,173.0,49.0
58,84.0,166.0,173.0,49.0
59,84.0,166.0,173.0,49.0
60,84.0,166.0,173.0,49.0
61,84.0,166.0,173.0,49.0
62,84.0,166.0,173.0,49.0
63,84.0,166.0,173.0,49.0
64,84.0,166.0,173.0,49.0
65,84.0,166.0,173.0,49.0
66,84.0,166.0,173.0,49.0
67,84.0,166.0,173.0,49.0
68,84.0,166.0,173.0,49.0
69,84.0,166.0,173.0,49.0
70,84.0,166.0,173.0,49.0
71,84.0,166.0,173.0,49.0
72,84.0,166.0,173.0,49.0
73,84.0,166.0,173.0,49.0
74,84.0,166.0,173.0,49.0
75,84.01315789473684,166.01315789473685,173.01315789473685,49.0
76,84.02597402597402,166.02597402597402,173.02597402597402,49.0
77,84.03846153846153,166.03846153846155,173.03846153846155,49.0
78,84.0506329113924,166.0506329113924,173.0506329113924,49.0
79,84.0625,166.0625,173.0625,49.0
80,84.07407407407408,166.07407407407408,173.07407407407408,49.0
81,84.08536585365853,166.08536585365854,173.08536585365854,49.0
82,84.09638554216868,166.09638554216866,173.09638554216866,49.0
83,84.10714285714286,166.10714285714286,173.10714285714286,49.0
84,84.11764705882354,166.11764705882354,173.11764705882354,49.0
85,84.12790697674419,166.12790697674419,173.12790697674419,49.0
86,84.13793103448276,166.13793103448276,173.13793103448276,49.0
87,84.14772727272727,166.14772727272728,173.14772727272728,49.0
88,84.15730337078652,166.1573033707865,173.1573033707865,49.0
89,84.16666666666667,166.16666666666666,173.16666666666666,49.0
90,84.17582417582418,166.17582417582418,173.17582417582418,49.0
91,84.18478260869566,166.18478260869566,173.18478260869566,49.0
92,84.19354838709677,166.19354838709677,173.19354838709677,49.0
93,84.20212765957447,166.20212765957447,173.20212765957447,49.0
94,84.21052631578948,166.21052631578948,173.21052631578948,49.0
95,84.21875,166.21875,173.21875,49.0
96,84.22680412371135,166.22680412371133,173.22680412371133,49.0
97,84.23469387755102,166.23469387755102,173.23469387755102,49.0
98,84.24242424242425,166.24242424242425,173.24242424242425,49.0
99,84.25,166.25,173.25,49.0
